VenueID,VenueName,City,Country,Capacity,OpenedYear,GrassType
1,"Kirby, Juarez and Moreno Stadium",Heatherchester,Spain,86851,1950,Hybrid
2,Osborne-Nelson Stadium,South Malik,Spain,79607,1913,Hybrid
3,Anderson-Wright Stadium,Alanland,Spain,49326,1933,Natural
4,Knight LLC Stadium,Port Sarahmouth,Spain,24503,1959,Artificial
5,Roy-Torres Stadium,Norriston,Spain,44609,1918,Artificial
6,Short-Smith Stadium,East Sierrafort,Spain,77393,1954,Hybrid
7,Williams-Franco Stadium,New Stevenhaven,Spain,55389,1986,Hybrid
8,Wilson Inc Stadium,South Danieltown,Spain,93960,1988,Natural
9,Long-Gallagher Stadium,Jonesmouth,Spain,76768,2000,Natural
10,"Jones, Brown and Kelly Stadium",North Charles,Spain,36284,2012,Hybrid
11,Johnson and Sons Stadium,Cynthiashire,Spain,42298,1935,Natural
12,Hughes-Morris Stadium,Ingramview,Spain,68660,2012,Hybrid
13,Higgins-Chapman Stadium,North Samuelland,Spain,55023,1938,Natural
14,"Taylor, Cabrera and Gonzales Stadium",North Gina,Spain,81394,1935,Natural
15,"Morris, Arellano and Larsen Stadium",East Davidbury,Spain,57069,2013,Artificial
16,Duffy-Robinson Stadium,Leeshire,Spain,15812,1906,Hybrid
17,"Nelson, Jacobson and Gonzalez Stadium",Port Marissa,Spain,25966,1949,Natural
18,Thomas PLC Stadium,Palmertown,Spain,66682,1909,Hybrid
19,"Warren, Hill and Church Stadium",Port Amy,Spain,43151,1997,Natural
20,"Martinez, Clark and Martin Stadium",South Davidshire,Spain,86919,1935,Hybrid
21,Garcia-Pearson Stadium,Lake Omar,Italy,32481,1956,Natural
22,Pruitt PLC Stadium,West Amberview,Italy,42665,1944,Hybrid
23,Jackson-Berry Stadium,East Gailside,Italy,15523,1929,Artificial
24,"Porter, Hancock and Jones Stadium",New Chelsea,Italy,82945,1934,Hybrid
25,"Walker, English and Scott Stadium",Tammyside,Italy,97515,1983,Hybrid
26,"Byrd, Watson and Blackburn Stadium",Port Michael,Italy,75225,1985,Natural
27,"Dixon, Hanna and Johns Stadium",Cookview,Italy,64888,1998,Artificial
28,"Simmons, Brown and Reed Stadium",New Aaronton,Italy,15150,1905,Hybrid
29,"Hayes, Taylor and Campbell Stadium",Lake Danielstad,Italy,65427,1913,Hybrid
30,"Williams, James and Anderson Stadium",Port Johnnyfurt,Italy,86856,1947,Hybrid
31,"Pace, Griffin and Smith Stadium",Allenfort,Italy,15331,1954,Artificial
32,"Khan, Harrison and Mason Stadium",Robertburgh,Italy,51894,2019,Hybrid
33,"Robinson, Morton and Harrington Stadium",North Tony,Italy,66976,2016,Natural
34,"Day, Gregory and Crawford Stadium",Joelberg,Italy,63448,2003,Artificial
35,"Wright, Anderson and Glover Stadium",West Erica,Italy,63517,1989,Artificial
36,Harrell Group Stadium,West Eric,Italy,96379,2021,Hybrid
37,Gates-Sullivan Stadium,Beasleyborough,Italy,88110,2007,Natural
38,Mcdaniel-Wells Stadium,South Dennis,Italy,49004,1949,Artificial
39,Moore-Riley Stadium,Johnsonfurt,Italy,27014,1978,Artificial
40,Mcdaniel LLC Stadium,Sherichester,Italy,86221,1972,Artificial
